LICYR,LICTYPE,LICNO,BUSNAME,OWNERSHIP,LOTADDR,LOTCITY,LOTSTATE,PHONE
15,AD,3063,75 AUTO RECYCLING & SALES,S,756 NE WASHINGTON,BARTLESVILLE,OK,(918) 766-0303
15,UD,7245,77 TRUCK & AUTO SALES,S,7151 SUNBURST DRIVE,LEXINGTON,OK,(405) 527-9118
15,AD,567,A & A AUTO PARTS & SALVAGE,S,1300 S. ROBINSON,OKLAHOMA CITY,OK,(405)236-1675
15,UD,7869,"A & A AUTO SALES, AUTO PARTS & SALV",S,1300 S. ROBINSON,OKLAHOMA CITY,OK,(405) 236-1675
15,AD,417,A & A AUTO SALVAGE,S,BEELINE 5 MILES SOUTH,OKMULGEE,OK,(918)756-8580
15,AD,491,"A & A CYCLE SALES & SALV, INC.",C,714 SE 15TH,OKLAHOMA CITY,OK,(405)634-4033
15,UD,1391,A & A MOTOR COMPANY,S,4909 E. 11TH,TULSA,OK,(918)832-7999
15,UD,4192,A & A MOTOR COMPANY #2,S,4425 E. 11TH STREET,TULSA,OK,(918) 835-7777
15,AD,1356,A & B AUTO SALVAGE,S,5600 E. PINE,TULSA,OK,(918)836-8587
15,UD,8672,"A & D AUTO SALES, LLC",LLC,4315 E. 11TH,TULSA,OK,(918) 836-4500
15,UD,4486,"A & D CUSTOM AUTO SALES, LLC",LLC,13312 US HWY 270,WATONGA,OK,(580) 791-1179
15,UD,6562,"A & D MOTORS, LLC",LLC,3701 SE 89TH STREET,OKLAHOMA CITY,OK,(405) 606-6565
15,UD,4163,A & G AUTO SALES,C,1802 SW LEE BLVD,LAWTON,OK,(580) 357-6640
15,UD,1957,"A & G AUTO, INC.",C,4001 SE 15TH,DEL CITY,OK,(405) 672-9856
15,UD,8193,"A & G AUTO, INC. #2",C,9200 NE 23RD STREET,OKLAHOMA CITY,OK,(405) 769-9404
15,AD,1312,A & J SALVAGE,S,HIGHWAY 7 NORTH,MARLOW,OK,(580) 248-3166
15,WD,10666,A & K AUTO REMARKETING,S,5720 IRVINE DRIVE,EDMOND,OK,(405) 359-2211
15,AD,1883,A & L AUTO SALES & SALVAGE,S,"705 SMITH STREET, #D",POCOLA,OK,(479) 719-3830
15,WD,10583,A & M AUTO SALES,S,1105 S. PORTLAND,OKLAHOMA CITY,OK,(405) 863-4820
15,UD,4086,A & M AUTOMALL,S,2865 N. SHIELDS BLVD UNIT C,MOORE,OK,(405) 237-1442
15,UD,8966,A & M CLASSIC CARS,S,38454 S. 4470 ROAD,LANGLEY,OK,(918) 782-7726
15,UD,5837,A & P AUTO SALES,S,900 EASTSIDE BOULEVARD,MUSKOGEE,OK,(918) 681-4616
15,UD,6342,A 2 B AUTOMOTIVE SALES,LLC,5303 E. 11TH STREET,TULSA,OK,(918) 794-7030
15,UD,9959,A BETTER USED TRUX,S,8332 W. I-40 SERVICE ROAD,OKLAHOMA CITY,OK,(405) 787-8789
15,AD,3050,A PLUS AUTO RECYCLER'S,P,1645 E. 93RD STREET S.,MUSKOGEE,OK,(918) 686-0600
15,UD,7479,A PLUS DURANT AUTOS,S,114 SOUTH 7TH,DURANT,OK,(580) 924-4779
15,UD,9828,"A PLUS MOTORS, INC.",C,1000 SW 29TH,OKLAHOMA CITY,OK,(405) 631-9500
15,UD,4384,"A USED CAR, LLC",LLC,2840 N. SHIELDS,MOORE,OK,(405) 703-2840
15,UD,4355,"A+ AUTO FINANCE, INC.",C,304 S. POCOLA BLVD.,POCOLA,OK,(918) 436-7200
15,UD,6979,A+ AUTO SALES,S,1224 E. 6TH STREET,STILLWATER,OK,(405) 714-2797
15,UD,3981,A+ TRUCKS & RVS,P,14133 HIGHWAY 62,TAHLEQUAH,OK,(918) 453-0214
15,AD,3211,A-1 AUTO PARTS & SALVAGE,C,13521 E. APACHE STREET,TULSA,OK,(918) 234-4022
15,UD,4459,A1 AUTO PLUS,C,101 N. LEWIS AVE,TULSA,OK,(918) 992-5949
15,UD,5477,"A-1 AUTO SALES, INC",C,203 S. DIVISION,GUTHRIE,OK,(405) 282-3353
15,AD,448,A-1 AUTO SALVAGE,S,9601 SE 29TH,MIDWEST CITY,OK,(405)732-1175
15,UD,1844,A-1 MOTOR COMPANY,S,5017 E. 11TH,TULSA,OK,(918)835-2235
15,UD,7116,AAA CAR SALES,S,1600 N. CEDAR,TAHLEQUAH,OK,(918)456-4576
15,UD,6390,"AAAA AUTO SALES, LLC",LLC,1935 SE 29TH,OKLAHOMA CITY,OK,(405) 677-2886
15,UD,3074,A-AFFORDABLE PRE-OWNED CARSF,S,609 S. 'A' AVENUE,OILTON,OK,(918) 862-3377
15,UD,9207,AB AUTO CONNECTION,S,1001 SW 59TH STREET,OKLAHOMA CITY,OK,(405) 226-2525
15,UD,9916,"ABC AUTO SALES, LLC",LLC,9939 E. 11TH STREET,TULSA,OK,(918) 437-2109
15,UD,6615,ABC TRANSMISSION & MOTOR CO,S,2308 SW LEE BLVD,LAWTON,OK,(580) 353-7725
15,UD,8440,A-BEST USED CARS,S,HIGHWAY 259 NORTH,IDABEL,OK,(580) 286-5522
15,UD,4366,"ABRAHAM'S AUTO DEPOT, LLC",LLC,5015 E. 11TH STREET,TULSA,OK,(918) 933-6655
15,UD,4500,"ABS GOLF CARS, INC.",C,317 S. MAIN,NOBLE,OK,(405) 872-5671
15,AD,3171,ABSOLOOT SALVAGE & RECYCLING,S,3308 NE 10TH,OKLAHOMA CITY,OK,(405) 427-8295
15,UD,7770,ABSOLOOT USED CARS,S,3308 NE 10TH,OKLAHOMA CITY,OK,(405) 427-8295
15,UD,4371,"ABSOLUTE MOTORSPORTS, LLC",LLC,8165 E. 46TH STREET,TULSA,OK,(918) 699-9040
15,UD,8812,ABUNDANCE AUTO SALES,S,805 W. BROADWAY,SPIRO,OK,(918) 962-6222
15,UD,7659,ACCEL AUTO SALES,S,2705 E. 41ST STREET NORTH,TULSA,OK,(918) 425-6100
15,UD,7559,ACCESS AUTO REMARKETING,C,1309 SW 29TH,OKLAHOMA CITY,OK,(405) 606-7860
15,UD,4119,"ACCESS MOTOR SPORTS, LLC",LLC,4444 A. S. MINGO ROAD,TULSA,OK,(918) 519-1327
15,MH,563,ACE 4 HOMES,S,2001 HURLIMAN ROAD,GUYMON,OK,(580) 338-8553
15,I,300,ACE 4 HOMES,S,2601 HURLIMAN ROAD,GUYMON,OK,(580) 338-8554
15,UD,4472,"ACE AUTO LIQUIDATORS, LLC",LLC,9938 SOUTH HWY 137,MIAMI,OK,(918) 542-6773
15,UD,4102,ACE AUTO MART,C,5729 E. 11TH STREET,TULSA,OK,(918) 836-1300
15,AD,1909,ACE AUTO SALVAGE,S,1515 S. MAY AVENUE,OKLAHOMA CITY,OK,(405) 681-2222
15,UD,5790,ACE CARS,S,2315 N. AIR DEPOT BLVD,OKLAHOMA CITY,OK,(405) 732-9400
15,WD,10724,ACM AUTO,LLC,7301 BAYLINER LAUNCH,EDMOND,OK,(405) 206-0002
15,UD,619,ACME MOTOR COMPANY,S,1116 E. HASKELL,TULSA,OK,(918)582-7116
15,UD,7332,"ACORD TRUCK & EQUIPMENT SALES, LLC",LLC,14280 HIGHWAY 177,SHAWNEE,OK,(450) 273-5740
15,UD,2069,"ACTION POWERSPORTS, INC",C,7830 E. ADMIRAL PLACE,TULSA,OK,(918) 838-8001
15,UD,2105,"ACTION POWERSPORTS, INC #2",C,6200 NW 39TH STREET,BETHANY,OK,(405) 603-7101
15,UD,8853,ACTION TOYS MOTORCYCLES,C,7465 E. ADMIRAL PLACE,TULSA,OK,(918) 259-5066
15,UD,9866,ACTION TRUCK CENTER,S,3735 S. SOONER ROAD,CHICKASHA,OK,(405) 224-0807
15,UD,2690,ADA DODGE CHRYSLER JEEP RAM,LP,1109 N. BROADWAY AVE,ADA,OK,(580) 320-6611
15,UD,2397,"ADA FORD-LINCOLN, INC.",C,1600 LONNIE ABBOTT BLVD,ADA,OK,(580) 332-6161
15,UD,2214,"ADA NISSAN, INC.",C,420 N. MISSISSIPPI BYPASS,ADA,OK,(580) 332-2233
15,UD,4456,"ADAMS AUTO GROUP, INC",C,2721 M AND K LANE,EL RENO,OK,(888) 730-7224
15,UD,618,ADAMS AUTO SALES,P,1015 E. DAVIS,WEATHERFORD,OK,(580) 772-1104
15,UD,5128,"ADA'S EASTSIDE AUTO'S, INC.",C,19116 STATE HIGHWAY 1 EAST,ADA,OK,(580) 332-3377
15,M,30109,ADDISON DIVISION,LLC,47 WILSON BLVD 200,ADDISONF,AL,(256) 747-1575
15,UD,9096,ADESA TULSA,LLC,16015 E. ADMIRAL PLACE,TULSA,OK,(918) 437-9044
15,UD,6012,ADKINS AUTOMOTIVE,S,469603 E. 708 ROAD,WESTVILLE,OK,(918) 723-3190
15,UD,406,ADKISON MOTORS,S,1301 S. 4TH,CHICKASHA,OK,(405)224-4807
15,UD,4316,ADRENALINE AUTO SALES,LLC,301 S. MICKEY MANTLE BLVD,COMMERCE,OK,(918) 675-4664
15,UD,4120,ADVANCE AUTO CREDIT,S,4840 NW 10TH,OKLAHOMA CITY,OK,(405) 602-0004
15,WD,10682,ADVANCE AUTO WORKS,C,2217 N. PORTLAND AVE,OKLAHOMA CITY,OK,(405) 947-4245
15,UD,5936,ADVANTAGE AUTO SALES & LEASING,C,517 W. CENTENNIAL BLVD,EDMOND,OK,(405) 361-7937
15,UD,9818,"ADVANTAGE AUTO SALES, INC",C,1601 N. GRAND,ENID,OK,(580) 237-3284
15,UD,9266,ADVANTAGE TRUCK & TRAILER,S,1635 S. GREEN,PURCELL,OK,(405) 823-1215
15,UD,6513,ADVENTURE TRUCK SALES,LLC,6214 N. PLEASANTVIEW,PONCA CITY,OK,(580) 762-1866
15,UD,9147,"AERO CAR & TRUCK SALES, LLC",LLC,26225 E. ADMIRAL PLACE,CATOOSA,OK,(918) 812-2292
15,UD,4042,AFFORDABLE AUTO,LLC,6040 S. MINGO RD,TULSA,OK,(918) 850-3734
15,UD,8712,AFFORDABLE BODY WORKS & AUTO SALES,S,409 SW C,ANTLERS,OK,(580) 298-3950
15,UD,5290,"AFFORDABLE MOTORS, INC.",C,912 N. FLOOD,NORMAN,OK,(405) 366-1800
15,UD,4421,AFFORDABLE USED CAR WHOLESALE,LLP,514 1/2 E. 13TH,STILLWATER,OK,(405) 352-0109
15,UD,9758,AGT MOTOR WORKS,S,1909 W. 92ND,PERKINS,OK,(405) 741-8725
15,AD,3099,AHREND TRUCK & TRAILER PARTS,C,1735 HIGHWAY 75,MOUNDS,OK,(918) 267-3988
15,UD,6150,"AHREND TRUCK & TRAILER, INC.",C,1735 HIGHWAY 75,MOUNDS,OK,(918) 267-3988
15,UD,4374,"AJ AUTO REMARKETING, LLC",LLC,8060 B. GLADE AVE.,OKLAHOMA CITY,OK,(405) 627-3892
15,UD,2881,AJAX KAWASAKI,LLC,8417 S. I-35 SERVICE ROAD,OKLAHOMA CITY,OK,(405) 634-8400
15,UD,8655,"AJOULY AUTO SALES, LLC",LLC,4600 NW 39TH,OKLAHOMA CITY,OK,(405) 470-8010
15,UD,9792,AJ'S CARS & TRUCKS,S,6889 BOIS D. ARC ROAD,MARIETTA,OK,(580) 276-9468
15,UD,4137,AK AUTOPLEX,S,21751 E. ADMIRAL PLACE,CATOOSA,OK,(918) 850-0770
15,UD,7460,"ALAMEDA AUTO LUBE & CAR CARE, LLC",LLC,1300 ALAMEDA STREET,NORMAN,OK,(405) 310-3555
15,UD,5528,ALANCE AUTO WORKS,S,514 S. BROADWAY,EDMOND,OK,(405)340-0009
15,AD,89,ALBERTS USED PARTS,C,707 S. WASHINGTON,WEATHERFORD,OK,(580) 772-6060
15,UD,2349,ALFA ROMEO FIAT OF EDMOND,LLC,14113 N. BROADWAY,EDMOND,OK,(405) 928-5408
15,UD,8698,ALL AMERICAN AUTO & TRUCK SALES,C,1907 NW CACHE ROAD,LAWTON,OK,(580) 357-9292
15,UD,8740,ALL CITY MOTORS,C,3834 N. BOULEVARD,EDMOND,OK,(405) 341-3441
15,UD,8619,ALL STAR AUTO SALES,S,7602 E. 46TH STREET,TULSA,OK,(918) 728-2170
15,UD,5923,"ALL STAR MOTORS, LLC OF MUSKOGEE",LLC,7901 N. YORK,OKAY,OK,(918)687-7677
15,UD,6233,"ALL STAR VEHICLE SALES, LLC",LLC,1505 W. MAIN STREET,TISHOMINGO,OK,(580) 371-2662
15,UD,4057,"ALLEGIANCE AUTO SALES, INC",C,18933 NE 23RD ST,HARRAH,OK,(405) 335-0900
15,UD,1884,"ALLEN'S USED CARS LOT, INC",C,500 N. 1ST STREET,CLAYTON,OK,(918)569-4771
15,UD,3699,"ALLEN'S USED CARS, INC.",C,2210 E. CHEROKEE,SALLISAW,OK,(918)775-6356
15,UD,1008,"ALLIED AUTO SALES, INC.",C,905 N. UTICA,TULSA,OK,(918) 295-7749
15,AD,1526,"ALLSTATE AUTO SALVAGE, INC.",C,13603 E. APACHE,TULSA,OK,(918)437-5445
15,UD,7119,"ALPHA AUTO FINDERS, LLC",LLC,1502 S. PERKINS ROAD,STILLWATER,OK,(405)377-9229
15,UD,7173,AL'S AMERICAN AUTO SALES,S,7543 E. PINE,TULSA,OK,(918) 895-6050
15,UD,1583,ALTUS AUTO AUCTION,C,20864 US HIGHWAY 62 EAST,ALTUS,OK,(580)477-1255
15,UD,2931,ALTUS MOTORSPORTS,LLC,2116 E. BROADWAY,ALTUS,OK,(580) 477-1500
15,UD,4229,"ALVAREZ FOREIGN CARS, LLC",LLC,4304 E. PINE PLACE,TULSA,OK,(918) 856-9862
15,WD,10737,AMANA AUTO SALES,C,2737 NW 140TH STREET #23,OKLAHOMA CITY,OK,(405) 742-7201
15,UD,7667,AMER CAMARO & FIREBIRD AUTO BROKERS,S,5932 NW 39TH EXPRESSWAY,WARR ACRES,OK,(405)495-9114
15,AD,1841,AMER CAMARO & FIREBIRD AUTO PARTS,S,5932 NW 39TH EXPRESSWAY,WARR ACRES,OK,(405)495-9114
15,UD,6312,"AMERICA AUTO MAS, LLC",LLC,1730 S. MEMORIAL DRIVE,TULSA,OK,(918) 938-7900
15,UD,6471,"AMERICA AUTO RENTAL & SALES, LLC",LLC,7520 S. SHIELDS,OKLAHOMA CITY,OK,(405) 237-3355
15,UD,6804,"AMERICAN AUTO SALES, LLC",LLC,7129 E. 11TH STREET,TULSA,OK,(918) 831-2222
15,AD,120,"AMERICAN AUTO SALVAGE, INC.",C,9555 N. PEORIA,SPERRY,OK,(918)288-7257
15,UD,5332,"AMERICAN BUS SALES, LLC",LLC,12802 N. 103RD E. AVE.,COLLINSVILLE,OK,(918) 274-9970
15,UD,7578,"AMERICAN TOWING & AUTO SALES, INC.",C,1330 N. ASH STREET,GUYMON,OK,(580) 338-6271
15,UD,5797,"AMERICA'S AUTO AUCTION TULSA, INC",C,8544 E. ADMIRAL PLACE,TULSA,OK,(918) 832-1050
15,WD,10720,"AMERICAS TRUCKS, LLC",LLC,5480 SUNSET TERRACE,SPENCER,OK,(405) 413-2445
15,WD,10636,"AMERITRANS EQUIPMENT SOLUTIONS,LLC",LLC,6508 S. 250 E. AVE,BROKEN ARROW,OK,(918) 357-2657
15,WD,10613,AMI AUTO SALES,C,3131 SW 89TH STREET #7105,OKLAHOMA CITY,OK,(405) 605-2155
15,UD,7789,"AMIGO AUTO SALES, LLC",LLC,7122 E. ADMIRAL PLACE,TULSA,OK,(918) 812-9639
15,UD,5370,"AMIGO LAND MOTORS, INC.",C,1324 SW 29TH,OKLAHOMA CITY,OK,(405)634-7065
15,UD,6848,AMU AUTO SALES,LLC,2228 SW 29TH,OKLAHOMA CITY,OK,(405) 605-5656
15,UD,7583,A-N-B USED CARS,S,2945 NW 32ND STREET,NEWCASTLE,OK,(405) 387-9494
15,UD,7542,ANCHOR AUTO SALES,P,1616 N. 9TH,SAPULPA,OK,(918) 697-8263
15,MH,603,"ANDERSON HOMES, LLC",LLC,6700 S. SHIELDS,OKLAHOMA CITY,OK,(405) 631-8121
15,MH,604,"ANDERSON HOMES, LLC #2",LLC,3119 W. GRANT AVE,PAULS VALLEY,OK,(405) 238-4699
15,UD,7795,ANDERSON TRUCKS,C,829 S. BROADWAY,EDMOND,OK,(405)348-6000
15,UD,860,ANDY'S USED CARS,S,1201 E. MAIN,CUSHING,OK,(918)225-3456
15,UD,5690,ANGLIN AUTO SALES,S,"ROUTE 1, BOX 107",WANN,OK,(918) 531-2275
15,UD,1438,"ANTLERS AUTO SALES, INC",C,105 SW 'C' STREET,ANTLERS,OK,(580) 298-3159
15,UD,2561,ANTLERS MOTOR SPORTS,LLC,216 W. MAIN,ANTLERS,OK,(580) 298-3379
15,MH,503,APACHE PREOWNED HOMES,LLC,"500 E ""J""",SAVANNA,OK,(918) 548-3659
15,I,227,"APACHE TRANSPORTATION, LLC",LLC,500 EAST J,SAVANNA,OK,(918) 548-3659
15,UD,5173,APPLE AUTO SALES,C,7020 NW 39TH EXPRESSWAY,BETHANY,OK,(405) 495-6865
15,UD,8086,"APPROVED AUTO SALES, LLC",LLC,5318 E. 11TH STREET,TULSA,OK,(918) 878-7778
15,UD,6086,"ARDMORE CAR AUCTION, LLC",LLC,I-35 EXIT 24,OVERBROOK,OK,(580) 226-7710
15,UD,5619,ARDMORE TRAILER SALES & SERVICE,S,3801 SPRINGDALE ROAD,ARDMORE,OK,(580) 226-7811
15,AD,1545,"ARDMORE TRAILER SALES, PARTS & SERV",S,3801 SPRINGDALE ROAD,ARDMORE,OK,(580) 226-7811
15,UD,2112,"ARDMORE YAMAHA, INC.",C,1511 W. BROADWAY STREET,ARDMORE,OK,(580) 223-1050
15,AD,3160,AREA 51 USED PARTS,S,720 1ST STREET,ELGIN,OK,(580) 492-6633
15,UD,8446,ARIA AUTO SALES,S,1041 S.W. 29,OKLAHOMA CITY,OK,(405) 604-6704
15,UD,4449,ARKLAHOMA AUTO'S,S,2402 CHOCTAW RD.,POCOLA,OK,(918) 436-7011
15,UD,6039,ARLEY'S AUTO SALES,S,710 W. BROADWAY,DRUMRIGHT,OK,(918) 352-2400
15,UD,464,ARLIS L. BADLEY MOTORS,S,219 S. CHOUTEAU,CHOUTEAU,OK,(918)476-5760
15,UD,8194,"ARNIE'S AUTO SALES, INC",C,4625 E. 11TH STREET,TULSA,OK,(918) 836-2277
15,UD,8058,ARNIE'S TRUCK & AUTO SALES,C,10130 E. 31ST STREET,TULSA,OK,(918) 628-2886
15,UD,5256,ARROW AUTO SALES,C,700 N. VILLA,OKLAHOMA CITY,OK,(405) 943-1800
15,MH,486,ASPEN MANUFACTURED HOMES,C,11701 E. ADMIRAL PLACE,TULSA,OK,(918) 438-5224
15,UD,8055,ATLANTIC AUTO SALES,S,1501 S. MEMORIAL DRIVE,TULSA,OK,(918) 835-7444
15,UD,5772,"ATLAS AUTO, INC",C,819 S. BROADWAY,EDMOND,OK,(405) 314-3855
15,UD,6399,"ATLAS MOTORS, LLC",LLC,2727 SE 15TH,OKLAHOMA CITY,OK,(405) 672-7000
15,UD,1763,ATOKA WHOLESALE MOTORS,S,1511 S. MISSISSIPPI,ATOKA,OK,(580) 889-7490
15,UD,2219,AUDI TULSA,LLC,4208 S. MEMORIAL DRIVE,TULSA,OK,(918) 712-2834
15,UD,2674,AUFFENBERG CHEVROLET CADILLAC,LLC,144 W. SHAWNEE AVENUE,MUSKOGEE,OK,(918) 683-0311
15,UD,5656,AUSBROOKS USED CARS,P,310 S. WOOD DRIVE,OKMULGEE,OK,(918) 756-5456
15,UD,4019,AUSBROOKS USED CARS,P,3101 S. WOOD DRIVE,OKMULGEE,OK,(918) 752-0001
15,UD,172,AUSBROOKS USED CARS,P,407 E. 6TH,OKMULGEE,OK,(918)756-1656
15,UD,8060,AUSBROOKS USED CARS,P,720 S. WOOD DRIVE,OKMULGEE,OK,(918)756-1717
15,UD,6371,AUSBROOKS USED CARS #1,S,1103 S. WOOD DRIVE,OKMULGEE,OK,(918) 756-1364
15,UD,7401,AUSBROOKS USED CARS #2,S,835 E. MAIN,CUSHING,OK,(918) 225-1656
15,UD,4245,AUTO 2 GO,S,910 S. 4TH STREET,PONCA CITY,OK,(580) 401-3502
15,UD,4509,AUTO 2 GO #2,S,300 W. SOUTH ST.,NEWKIRK,OK,(580) 401-9000
15,UD,4113,AUTO ACCESS,C,838 N. MAIN,MUSKOGEE,OK,(918) 616-4509
15,UD,4387,"AUTO APPROVED, LLC",LLC,3520 N. MAY AVE,OKLAHOMA CITY,OK,(405) 556-0626
15,WD,10577,AUTO BANK,S,17905 E. 95TH STREET NORTH,OWASSO,OK,(918) 272-6552
15,UD,6369,"AUTO BARGAIN, INC",C,2419 N. MACARTHUR BLVD,OKLAHOMA CITY,OK,(405) 361-0937
15,UD,4542,"AUTO BARGAIN, INC #2",C,3216 N. MAY AVE,OKLAHOMA CITY,OK,(405) 702-8822
15,UD,5457,AUTO BROKERS OF OKLAHOMA INC.,C,801 W. WILSHIRE,OKLAHOMA CITY,OK,(405) 826-6868
15,UD,4028,AUTO CONNECTION,S,2241 SW 29TH,OKLAHOMA CITY,OK,(405) 632-4949
15,UD,5758,AUTO DEPOT,S,1722 S. HIGHWAY 69,WAGONER,OK,(918)485-8554
15,UD,9582,"AUTO DIMENSIONS, INC",C,3536 N. SHIELDS BLVD,MOORE,OK,(405) 814-9700
15,UD,7212,"AUTO DIRECT FINANCE, LLC",LLC,16 EAST MAIN ST,YUKON,OK,(405) 306-4309
15,WD,10565,"AUTO DUDE WHOLESALE, LLC",LLC,413 SW 100TH STREET,OKLAHOMA CITY,OK,(405) 799-7778
15,UD,9065,AUTO EMPORIUM,LLC,4000 N. MAY AVENUE,OKLAHOMA CITY,OK,(405) 942-2222
15,UD,7608,AUTO EXPRESS USED CARS,P,3102 DENISION,MUSKOGEE,OK,(918) 683-1102
15,UD,7357,"AUTO FACTORY, LLC",LLC,1123 N. ELM PLACE,BROKEN ARROW,OK,(918) 286-7800
15,UD,7378,AUTO FINDERS,S,2104 E. CHEROKEE,SALLISAW,OK,(918) 775-0003
15,UD,7654,"AUTO MARKET, LLC",LLC,4815 NW 39TH,OKLAHOMA CITY,OK,(405) 702-9998
15,UD,6329,AUTO MASTERS,C,1420 TUXEDO,BARTLESVILLE,OK,(918)336-8594
15,UD,8220,AUTO ONE,C,2320 SW 29TH,OKLAHOMA CITY,OK,(405) 631-1455
15,UD,8279,AUTO OPTION,LLC,14205 BROADWAY EXTENSION,EDMOND,OK,(405) 562-8758
15,UD,5812,AUTO OUTLET,C,7509 E. 11TH,TULSA,OK,(918)832-7182
15,WD,10480,AUTO PLANET,LLC,908 N. ASTER AVENUE,BROKEN ARROW,OK,(918) 852-5436
15,UD,4123,"AUTO PLAZA, LLC",LLC,4701 NW 39TH,OKLAHOMA CITY,OK,(405) 787-7000
15,UD,8634,AUTO PRO,LLC,3101 N. MacARTHUR,OKLAHOMA CITY,OK,(405) 787-6999
15,UD,5142,"AUTO RANCH, INC.",C,311 G STREET NORTHWEST,ARDMORE,OK,(580) 490-9456
15,UD,7923,AUTO RECON USED CAR SALES,LLC,2404 SW 13TH,OKLAHOMA CITY,OK,(405) 231-1734
15,UD,8486,"AUTO RESOURCES, LLC",LLC,424 SE 29TH STREET,OKLAHOMA CITY,OK,(405) 466-5168
15,UD,7408,AUTO SELECT,LLC,4801 NW 39TH,OKLAHOMA CITY,OK,(405) 603-8400
15,UD,9819,"AUTO SHOWCASE OF TULSA, LLC",LLC,4640 S. MEMORIAL DRIVE,TULSA,OK,(918) 627-8095
